,North America,,"36,453,244","+6,115","830,579",+616,"28,198,785","+4,055","7,423,880","15,950",,,,,,North America,,,,
,South America,,"21,956,794","+1,076","577,701",+19,"19,677,486","+1,025","1,701,607","21,618",,,,,,South America,,,,
,Asia,,"30,071,247","+14,633","440,142",+159,"27,068,100","+9,981","2,563,005","27,196",,,,,,Asia,,,,
,Europe,,"40,855,991","+35,854","937,594",+855,"28,979,600","+28,755","10,938,797","32,879",,,,,,Europe,,,,
,Africa,,"4,336,627",,"114,877",,"3,885,966",,"335,784","3,240",,,,,,Africa,,,,
,Oceania,,"58,861",+35,"1,151",+1,"34,640",+12,"23,070",5,,,,,,Australia/Oceania,,,,
,,,721,,15,,706,,0,0,,,,,,,,,,
World,"133,733,485","+57,713","2,902,059","+1,650","107,845,283","+43,828","22,986,143","100,888","17,157",372.3,,,,All,,,,
Réunion,"17,508",,123 ,,"16,011",,"1,374",54,"19,449",137,"100,098","111,195","900,205 ",Africa,"517,3199"
Eswatini,"17,365",,669 ,,"16,631",,65,3,"14,850",572,"172,043","147,127","1,169,351 ",Africa,"671,7487"
French Guiana,"17,318",,94 ,,"9,995",,"7,229",8,"56,862",309,"166,476","546,606","304,563 ",South America,"183,2402"
Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,372",9,,,"9,700,629 ",Asia,"729107,785"
Burkina Faso,"12,873",,150 ,,"12,540",,183,,603,7,"173,878","8,149","21,338,394 ",Africa,"1,658142,256123"
Haiti,"12,803",,251 ,,"11,317",,"1,235",,"1,112",22,"54,379","4,725","11,508,755 ",North America,"89945,852212"
Mongolia,"12,780",+554,17 ,,"8,140","+1,228","4,623",67,"3,851",5,"2,345,886","706,897","3,318,568 ",Asia,"260195,2101"
Belize,"12,485",,318 ,,"12,106",,61,1,"30,970",789,"103,373","256,426","403,130 ",North America,"321,2684"
Andorra,"12,363",,119 ,,"11,616",,628,12,"159,811","1,538","193,595","2,502,521","77,360 ",Europe,66500
Guadeloupe,"12,140",,174 ,,"2,242",,"9,724",13,"30,337",435,"159,029","397,397","400,177 ",North America,"332,3003"
Somalia,"11,978",,576 ,,"5,058",,"6,344",,738,35,"95,922","5,910","16,229,752 ",Africa,"1,35528,177169"
Hong Kong,"11,540",,205 ,,"11,163",,172,9,"1,530",27,"11,193,673","1,483,876","7,543,539 ",Asia,"65436,7981"
Togo,"11,501",,113 ,,"8,592",,"2,796",,"1,365",13,"285,400","33,870","8,426,281 ",Africa,"73374,56930"
Mali,"10,841",,400 ,,"7,033",,"3,408",,524,19,"238,212","11,512","20,693,343 ",Africa,"1,90951,73387"
Guyana,"10,718",,250 ,,"9,473",,995,9,"13,576",317,"94,527","119,736","789,461 ",South America,"743,1588"
Lesotho,"10,707",,315 ,,"4,471",,"5,921",,"4,968",146,"68,712","31,881","2,155,249 ",Africa,"2016,84231"
Curaçao,"10,392",,58 ,,"5,762",,"4,572",22,"63,132",352,"80,384","488,339","164,607 ",North America,"162,8382"
South Sudan,"10,297",,113 ,,"10,061",,123,1,912,10,"136,405","12,078","11,294,036 ",Africa,"1,09799,94783"
Congo,"10,084",,137 ,,"8,208",,"1,739",,"1,794",24,"92,500","16,455","5,621,323 ",Africa,"55741,03261"
Aruba,"9,834",,92 ,,"9,170",,572,8,"91,809",859,"132,152","1,233,751","107,114 ",North America,"111,1641"
Djibouti,"9,306",,90 ,,"7,225",,"1,991",,"9,316",90,"136,235","136,376","998,969 ",Africa,"10711,1007"
Bahamas,"9,296",,189 ,,"8,811",,296,3,"23,468",477,"78,357","197,812","396,119 ",North America,"432,0965"
Suriname,"9,200",,178 ,,"8,637",,385,4,"15,576",301,"45,451","76,950","590,654 ",South America,"643,31813"
Martinique,"9,028",,57 ,,98,,"8,873",5,"24,072",152,"133,358","355,582","375,042 ",North America,"426,5803"
Trinidad and Tobago,"8,235",,145 ,,"7,683",,407,14,"5,870",103,"114,666","81,731","1,402,963 ",North America,"1709,67612"
Papua New Guinea,"7,634",,68 ,,846,,"6,720",,841,7,"63,700","7,018","9,076,169 ",Australia/Oceania,"1,189133,473142"
Benin,"7,313",,93 ,,"6,452",,768,35,591,8,"548,484","44,360","12,364,386 ",Africa,"1,691132,95023"
Equatorial Guinea,"7,059",,104 ,,"6,683",,272,11,"4,909",72,"111,994","77,888","1,437,889 ",Africa,"20413,82613"
Nicaragua,"6,727",,179 ,,"4,225",,"2,323",,"1,006",27,,,"6,684,793 ",North America,"99437,345"
Iceland,"6,251",,29 ,,"6,090",,132,,"18,228",85,"554,972","1,618,282","342,939 ",Europe,"5511,8251"
Gambia,"5,564",,166 ,,"5,111",,287,3,"2,254",67,"58,464","23,687","2,468,192 ",Africa,"44414,86942"
CAR,"5,353",,73 ,,"5,024",,256,2,"1,094",15,"40,907","8,359","4,893,798 ",Africa,"91467,038120"
Niger,"5,052",,188 ,,"4,725",,139,1,203,8,"92,317","3,712","24,869,163 ",Africa,"4,923132,283269"
Yemen,"5,047",,986 ,,"1,886",,"2,175",23,166,33,"20,872",688,"30,325,839 ",Asia,"6,00930,7561,453"
San Marino,"4,904",,85 ,,"4,347",,472,10,"144,295","2,501","54,780","1,611,840","33,986 ",Europe,74001
Chad,"4,606",,166 ,,"4,236",,204,,274,10,"110,021","6,555","16,783,464 ",Africa,"3,644101,105153"
Seychelles,"4,332",,24 ,,"3,869",,439,,"43,840",243,"21,504","217,623","98,813 ",Africa,"234,1175"
Saint Lucia,"4,304",,63 ,,"4,142",,99,2,"23,357",342,"36,756","199,468","184,270 ",North America,"432,9255"
